// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5
// command took 3.18s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5
// command took 14.93s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5
// command took 4.62s and exited with 0
// ***** Done, took 00:00:23 (23.18 sec)   *****
// Found 3 benchmarks:
//   ArrayVsList.ArrayBenchmark: DefaultJob
//   ArrayVsList.ListBenchmark: DefaultJob
//   ArrayVsList.StringBuilderBenchmark: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayVsList.ArrayBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "29e615d2-9314-4206-9414-711e75a6f2b5.dll" --benchmarkName "BenchmarkingAssignment.ArrayVsList.ArrayBenchmark" --job "Default" --benchmarkId 0 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 551112.20 ns, 551.1122 us/op
WorkloadJitting  1: 1 op, 512396.07 ns, 512.3961 us/op

OverheadJitting  2: 16 op, 332642.63 ns, 20.7902 us/op
WorkloadJitting  2: 16 op, 453531.76 ns, 28.3457 us/op

WorkloadPilot    1: 16 op, 18567.94 ns, 1.1605 us/op
WorkloadPilot    2: 32 op, 50172.94 ns, 1.5679 us/op
WorkloadPilot    3: 64 op, 68740.88 ns, 1.0741 us/op
WorkloadPilot    4: 128 op, 484346.64 ns, 3.7840 us/op
WorkloadPilot    5: 256 op, 584297.45 ns, 2.2824 us/op
WorkloadPilot    6: 512 op, 1062323.09 ns, 2.0748 us/op
WorkloadPilot    7: 1024 op, 1076150.27 ns, 1.0509 us/op
WorkloadPilot    8: 2048 op, 2153880.80 ns, 1.0517 us/op
WorkloadPilot    9: 4096 op, 4319613.47 ns, 1.0546 us/op
WorkloadPilot   10: 8192 op, 8754585.19 ns, 1.0687 us/op
WorkloadPilot   11: 16384 op, 16711934.25 ns, 1.0200 us/op
WorkloadPilot   12: 32768 op, 30953147.56 ns, 944.6151 ns/op
WorkloadPilot   13: 65536 op, 63225803.90 ns, 964.7492 ns/op
WorkloadPilot   14: 131072 op, 121235202.44 ns, 924.9512 ns/op
WorkloadPilot   15: 262144 op, 236563430.25 ns, 902.4179 ns/op
WorkloadPilot   16: 524288 op, 486811430.74 ns, 928.5191 ns/op
WorkloadPilot   17: 1048576 op, 993164628.47 ns, 947.1556 ns/op

OverheadWarmup   1: 1048576 op, 2008497.79 ns, 1.9155 ns/op
OverheadWarmup   2: 1048576 op, 2297683.55 ns, 2.1912 ns/op
OverheadWarmup   3: 1048576 op, 2327708.30 ns, 2.2199 ns/op
OverheadWarmup   4: 1048576 op, 2222621.67 ns, 2.1197 ns/op
OverheadWarmup   5: 1048576 op, 2221831.55 ns, 2.1189 ns/op
OverheadWarmup   6: 1048576 op, 2230127.86 ns, 2.1268 ns/op
OverheadWarmup   7: 1048576 op, 2177584.55 ns, 2.0767 ns/op

OverheadActual   1: 1048576 op, 2191411.74 ns, 2.0899 ns/op
OverheadActual   2: 1048576 op, 2200103.11 ns, 2.0982 ns/op
OverheadActual   3: 1048576 op, 2036942.30 ns, 1.9426 ns/op
OverheadActual   4: 1048576 op, 1992300.23 ns, 1.9000 ns/op
OverheadActual   5: 1048576 op, 2080004.11 ns, 1.9836 ns/op
OverheadActual   6: 1048576 op, 2073288.05 ns, 1.9772 ns/op
OverheadActual   7: 1048576 op, 2307955.18 ns, 2.2010 ns/op
OverheadActual   8: 1048576 op, 2373140.49 ns, 2.2632 ns/op
OverheadActual   9: 1048576 op, 2332449.05 ns, 2.2244 ns/op
OverheadActual  10: 1048576 op, 2376696.05 ns, 2.2666 ns/op
OverheadActual  11: 1048576 op, 2213140.17 ns, 2.1106 ns/op
OverheadActual  12: 1048576 op, 3119018.51 ns, 2.9745 ns/op
OverheadActual  13: 1048576 op, 2133732.61 ns, 2.0349 ns/op
OverheadActual  14: 1048576 op, 2147954.86 ns, 2.0484 ns/op
OverheadActual  15: 1048576 op, 2207214.24 ns, 2.1050 ns/op
OverheadActual  16: 1048576 op, 2349041.68 ns, 2.2402 ns/op
OverheadActual  17: 1048576 op, 2673783.06 ns, 2.5499 ns/op
OverheadActual  18: 1048576 op, 2091460.92 ns, 1.9946 ns/op
OverheadActual  19: 1048576 op, 2181930.24 ns, 2.0809 ns/op
OverheadActual  20: 1048576 op, 2189041.36 ns, 2.0876 ns/op

WorkloadWarmup   1: 1048576 op, 988156421.05 ns, 942.3794 ns/op
WorkloadWarmup   2: 1048576 op, 984183277.40 ns, 938.5903 ns/op
WorkloadWarmup   3: 1048576 op, 995148237.33 ns, 949.0473 ns/op
WorkloadWarmup   4: 1048576 op, 955267467.19 ns, 911.0140 ns/op
WorkloadWarmup   5: 1048576 op, 956771470.17 ns, 912.4484 ns/op
WorkloadWarmup   6: 1048576 op, 975705631.02 ns, 930.5054 ns/op
WorkloadWarmup   7: 1048576 op, 970608929.60 ns, 925.6448 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 981367271.84 ns, 935.9048 ns/op
WorkloadActual   2: 1048576 op, 972304142.82 ns, 927.2615 ns/op
WorkloadActual   3: 1048576 op, 977487362.94 ns, 932.2046 ns/op
WorkloadActual   4: 1048576 op, 991627835.31 ns, 945.6900 ns/op
WorkloadActual   5: 1048576 op, 967608429.84 ns, 922.7833 ns/op
WorkloadActual   6: 1048576 op, 982408261.55 ns, 936.8975 ns/op
WorkloadActual   7: 1048576 op, 997728390.57 ns, 951.5079 ns/op
WorkloadActual   8: 1048576 op, 977599955.75 ns, 932.3120 ns/op
WorkloadActual   9: 1048576 op, 978574179.90 ns, 933.2411 ns/op
WorkloadActual  10: 1048576 op, 992528577.83 ns, 946.5490 ns/op
WorkloadActual  11: 1048576 op, 984548710.22 ns, 938.9388 ns/op
WorkloadActual  12: 1048576 op, 970015940.77 ns, 925.0793 ns/op
WorkloadActual  13: 1048576 op, 989189509.51 ns, 943.3646 ns/op
WorkloadActual  14: 1048576 op, 975715507.59 ns, 930.5148 ns/op
WorkloadActual  15: 1048576 op, 963140272.87 ns, 918.5221 ns/op

// AfterActualRun
WorkloadResult   1: 1048576 op, 979171514.41 ns, 933.8107 ns/op
WorkloadResult   2: 1048576 op, 970108385.40 ns, 925.1675 ns/op
WorkloadResult   3: 1048576 op, 975291605.51 ns, 930.1106 ns/op
WorkloadResult   4: 1048576 op, 989432077.89 ns, 943.5960 ns/op
WorkloadResult   5: 1048576 op, 965412672.42 ns, 920.6893 ns/op
WorkloadResult   6: 1048576 op, 980212504.12 ns, 934.8035 ns/op
WorkloadResult   7: 1048576 op, 995532633.15 ns, 949.4139 ns/op
WorkloadResult   8: 1048576 op, 975404198.33 ns, 930.2179 ns/op
WorkloadResult   9: 1048576 op, 976378422.48 ns, 931.1470 ns/op
WorkloadResult  10: 1048576 op, 990332820.41 ns, 944.4550 ns/op
WorkloadResult  11: 1048576 op, 982352952.80 ns, 936.8448 ns/op
WorkloadResult  12: 1048576 op, 967820183.35 ns, 922.9853 ns/op
WorkloadResult  13: 1048576 op, 986993752.09 ns, 941.2706 ns/op
WorkloadResult  14: 1048576 op, 973519750.16 ns, 928.4208 ns/op
WorkloadResult  15: 1048576 op, 960944515.45 ns, 916.4281 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 932.6241 ns, StdErr = 2.4164 ns (0.26%); N = 15, StdDev = 9.3587 ns
Min = 916.4281 ns, Q1 = 925.1675 ns, Median = 931.1470 ns, Q3 = 941.2706 ns, Max = 949.4139 ns
IQR = 16.1031 ns, LowerFence = 901.0127 ns, UpperFence = 965.4253 ns
ConfidenceInterval = [922.6190 ns; 942.6291 ns] (CI 99.9%), Margin = 10.0050 ns (1.07% of Mean)
Skewness = 0.09, Kurtosis = 1.92, MValue = 2

// **************************
// Benchmark: ArrayVsList.ListBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "29e615d2-9314-4206-9414-711e75a6f2b5.dll" --benchmarkName "BenchmarkingAssignment.ArrayVsList.ListBenchmark" --job "Default" --benchmarkId 1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 449186.07 ns, 449.1861 us/op
WorkloadJitting  1: 1 op, 606816.01 ns, 606.8160 us/op

OverheadJitting  2: 16 op, 336198.19 ns, 21.0124 us/op
WorkloadJitting  2: 16 op, 528198.57 ns, 33.0124 us/op

WorkloadPilot    1: 16 op, 49777.88 ns, 3.1111 us/op
WorkloadPilot    2: 32 op, 109432.31 ns, 3.4198 us/op
WorkloadPilot    3: 64 op, 356741.45 ns, 5.5741 us/op
WorkloadPilot    4: 128 op, 707556.95 ns, 5.5278 us/op
WorkloadPilot    5: 256 op, 1871016.04 ns, 7.3087 us/op
WorkloadPilot    6: 512 op, 1579064.85 ns, 3.0841 us/op
WorkloadPilot    7: 1024 op, 3109932.07 ns, 3.0370 us/op
WorkloadPilot    8: 2048 op, 6196160.39 ns, 3.0255 us/op
WorkloadPilot    9: 4096 op, 12223629.08 ns, 2.9843 us/op
WorkloadPilot   10: 8192 op, 24216146.60 ns, 2.9561 us/op
WorkloadPilot   11: 16384 op, 44621520.24 ns, 2.7235 us/op
WorkloadPilot   12: 32768 op, 94858063.92 ns, 2.8948 us/op
WorkloadPilot   13: 65536 op, 175464247.83 ns, 2.6774 us/op
WorkloadPilot   14: 131072 op, 355677937.14 ns, 2.7136 us/op
WorkloadPilot   15: 262144 op, 725965285.86 ns, 2.7693 us/op

OverheadWarmup   1: 262144 op, 489482.45 ns, 1.8672 ns/op
OverheadWarmup   2: 262144 op, 510815.82 ns, 1.9486 ns/op
OverheadWarmup   3: 262144 op, 565334.45 ns, 2.1566 ns/op
OverheadWarmup   4: 262144 op, 587062.89 ns, 2.2395 ns/op
OverheadWarmup   5: 262144 op, 524643.01 ns, 2.0014 ns/op
OverheadWarmup   6: 262144 op, 541235.64 ns, 2.0647 ns/op
OverheadWarmup   7: 262144 op, 547161.57 ns, 2.0873 ns/op
OverheadWarmup   8: 262144 op, 583902.39 ns, 2.2274 ns/op
OverheadWarmup   9: 262144 op, 632100.01 ns, 2.4113 ns/op
OverheadWarmup  10: 262144 op, 574815.95 ns, 2.1927 ns/op

OverheadActual   1: 262144 op, 551112.20 ns, 2.1023 ns/op
OverheadActual   2: 262144 op, 634865.45 ns, 2.4218 ns/op
OverheadActual   3: 262144 op, 487902.20 ns, 1.8612 ns/op
OverheadActual   4: 262144 op, 593778.95 ns, 2.2651 ns/op
OverheadActual   5: 262144 op, 774322.52 ns, 2.9538 ns/op
OverheadActual   6: 262144 op, 594174.01 ns, 2.2666 ns/op
OverheadActual   7: 262144 op, 524247.95 ns, 1.9998 ns/op
OverheadActual   8: 262144 op, 555062.82 ns, 2.1174 ns/op
OverheadActual   9: 262144 op, 488297.26 ns, 1.8627 ns/op
OverheadActual  10: 262144 op, 595754.26 ns, 2.2726 ns/op
OverheadActual  11: 262144 op, 584297.45 ns, 2.2289 ns/op
OverheadActual  12: 262144 op, 617482.70 ns, 2.3555 ns/op
OverheadActual  13: 262144 op, 600495.01 ns, 2.2907 ns/op
OverheadActual  14: 262144 op, 546371.45 ns, 2.0842 ns/op
OverheadActual  15: 262144 op, 557038.14 ns, 2.1249 ns/op
OverheadActual  16: 262144 op, 838322.64 ns, 3.1979 ns/op
OverheadActual  17: 262144 op, 578371.51 ns, 2.2063 ns/op
OverheadActual  18: 262144 op, 579951.76 ns, 2.2123 ns/op
OverheadActual  19: 262144 op, 542815.89 ns, 2.0707 ns/op
OverheadActual  20: 262144 op, 569680.14 ns, 2.1732 ns/op

WorkloadWarmup   1: 262144 op, 725212691.78 ns, 2.7665 us/op
WorkloadWarmup   2: 262144 op, 731831569.05 ns, 2.7917 us/op
WorkloadWarmup   3: 262144 op, 725655951.91 ns, 2.7682 us/op
WorkloadWarmup   4: 262144 op, 732311570.00 ns, 2.7935 us/op
WorkloadWarmup   5: 262144 op, 764216028.08 ns, 2.9153 us/op
WorkloadWarmup   6: 262144 op, 734591080.67 ns, 2.8022 us/op

// BeforeActualRun
WorkloadActual   1: 262144 op, 726610422.93 ns, 2.7718 us/op
WorkloadActual   2: 262144 op, 730742381.71 ns, 2.7876 us/op
WorkloadActual   3: 262144 op, 744717322.90 ns, 2.8409 us/op
WorkloadActual   4: 262144 op, 736571133.97 ns, 2.8098 us/op
WorkloadActual   5: 262144 op, 723366169.61 ns, 2.7594 us/op
WorkloadActual   6: 262144 op, 739816177.41 ns, 2.8222 us/op
WorkloadActual   7: 262144 op, 727760054.83 ns, 2.7762 us/op
WorkloadActual   8: 262144 op, 730858925.15 ns, 2.7880 us/op
WorkloadActual   9: 262144 op, 716344723.64 ns, 2.7326 us/op
WorkloadActual  10: 262144 op, 728473932.79 ns, 2.7789 us/op
WorkloadActual  11: 262144 op, 732185150.00 ns, 2.7931 us/op
WorkloadActual  12: 262144 op, 724413480.32 ns, 2.7634 us/op
WorkloadActual  13: 262144 op, 731825248.05 ns, 2.7917 us/op
WorkloadActual  14: 262144 op, 725807260.85 ns, 2.7687 us/op
WorkloadActual  15: 262144 op, 739290349.22 ns, 2.8202 us/op

// AfterActualRun
WorkloadResult   1: 262144 op, 726031261.30 ns, 2.7696 us/op
WorkloadResult   2: 262144 op, 730163220.08 ns, 2.7854 us/op
WorkloadResult   3: 262144 op, 744138161.26 ns, 2.8387 us/op
WorkloadResult   4: 262144 op, 735991972.33 ns, 2.8076 us/op
WorkloadResult   5: 262144 op, 722787007.97 ns, 2.7572 us/op
