// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\e23049d3-3b8a-4b5d-b566-40bd89aea9ad
// command took 3.06s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\e23049d3-3b8a-4b5d-b566-40bd89aea9ad
// command took 14.85s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\e23049d3-3b8a-4b5d-b566-40bd89aea9ad
// command took 4.43s and exited with 0
// ***** Done, took 00:00:22 (22.74 sec)   *****
// Found 2 benchmarks:
//   ForVsForeach.ForBenchmark: DefaultJob
//   ForVsForeach.ForeachBenchmark: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForVsForeach.ForBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e23049d3-3b8a-4b5d-b566-40bd89aea9ad.dll" --benchmarkName "BenchmarkingAssignment.ForVsForeach.ForBenchmark" --job "Default" --benchmarkId 0 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\e23049d3-3b8a-4b5d-b566-40bd89aea9ad\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 454716.95 ns, 454.7169 us/op
WorkloadJitting  1: 1 op, 608791.33 ns, 608.7913 us/op

OverheadJitting  2: 16 op, 346864.88 ns, 21.6791 us/op
WorkloadJitting  2: 16 op, 434963.82 ns, 27.1852 us/op

WorkloadPilot    1: 16 op, 13827.19 ns, 864.1992 ns/op
WorkloadPilot    2: 32 op, 35555.63 ns, 1.1111 us/op
WorkloadPilot    3: 64 op, 52938.38 ns, 827.1621 ns/op
WorkloadPilot    4: 128 op, 84938.44 ns, 663.5816 ns/op
WorkloadPilot    5: 256 op, 170271.94 ns, 665.1248 ns/op
WorkloadPilot    6: 512 op, 435753.95 ns, 851.0819 ns/op
WorkloadPilot    7: 1024 op, 812248.52 ns, 793.2114 ns/op
WorkloadPilot    8: 2048 op, 1568398.16 ns, 765.8194 ns/op
WorkloadPilot    9: 4096 op, 3041981.32 ns, 742.6712 ns/op
WorkloadPilot   10: 8192 op, 6231320.95 ns, 760.6593 ns/op
WorkloadPilot   11: 16384 op, 11621158.76 ns, 709.2992 ns/op
WorkloadPilot   12: 32768 op, 34916019.59 ns, 1.0656 us/op
WorkloadPilot   13: 65536 op, 49943012.23 ns, 762.0699 ns/op
WorkloadPilot   14: 131072 op, 92710109.06 ns, 707.3220 ns/op
WorkloadPilot   15: 262144 op, 192028428.70 ns, 732.5303 ns/op
WorkloadPilot   16: 524288 op, 385052809.98 ns, 734.4300 ns/op
WorkloadPilot   17: 1048576 op, 742254503.22 ns, 707.8691 ns/op

OverheadWarmup   1: 1048576 op, 2397634.37 ns, 2.2866 ns/op
OverheadWarmup   2: 1048576 op, 2503511.12 ns, 2.3875 ns/op
OverheadWarmup   3: 1048576 op, 2636647.18 ns, 2.5145 ns/op
OverheadWarmup   4: 1048576 op, 2825882.13 ns, 2.6950 ns/op
OverheadWarmup   5: 1048576 op, 2780449.94 ns, 2.6516 ns/op
OverheadWarmup   6: 1048576 op, 2178374.67 ns, 2.0775 ns/op
OverheadWarmup   7: 1048576 op, 2880400.75 ns, 2.7470 ns/op
OverheadWarmup   8: 1048576 op, 2725931.31 ns, 2.5997 ns/op

OverheadActual   1: 1048576 op, 2192596.92 ns, 2.0910 ns/op
OverheadActual   2: 1048576 op, 2008102.73 ns, 1.9151 ns/op
OverheadActual   3: 1048576 op, 1934226.04 ns, 1.8446 ns/op
OverheadActual   4: 1048576 op, 2020744.73 ns, 1.9271 ns/op
OverheadActual   5: 1048576 op, 2079609.05 ns, 1.9833 ns/op
OverheadActual   6: 1048576 op, 2071312.73 ns, 1.9754 ns/op
OverheadActual   7: 1048576 op, 2556054.43 ns, 2.4376 ns/op
OverheadActual   8: 1048576 op, 2323757.68 ns, 2.2161 ns/op
OverheadActual   9: 1048576 op, 2179954.92 ns, 2.0790 ns/op
OverheadActual  10: 1048576 op, 2082769.55 ns, 1.9863 ns/op
OverheadActual  11: 1048576 op, 2154275.86 ns, 2.0545 ns/op
OverheadActual  12: 1048576 op, 2271609.43 ns, 2.1664 ns/op
OverheadActual  13: 1048576 op, 2176794.42 ns, 2.0760 ns/op
OverheadActual  14: 1048576 op, 2160991.92 ns, 2.0609 ns/op
OverheadActual  15: 1048576 op, 2110818.98 ns, 2.0130 ns/op
OverheadActual  16: 1048576 op, 2137683.23 ns, 2.0387 ns/op
OverheadActual  17: 1048576 op, 2151905.49 ns, 2.0522 ns/op

WorkloadWarmup   1: 1048576 op, 757509841.99 ns, 722.4177 ns/op
WorkloadWarmup   2: 1048576 op, 748622515.80 ns, 713.9421 ns/op
WorkloadWarmup   3: 1048576 op, 748709824.61 ns, 714.0253 ns/op
WorkloadWarmup   4: 1048576 op, 766998848.39 ns, 731.4671 ns/op
