// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\ed989461-2461-4cee-9d13-7e7a5d6a1f11
// command took 8.19s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\ed989461-2461-4cee-9d13-7e7a5d6a1f11
// command took 15.18s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\ed989461-2461-4cee-9d13-7e7a5d6a1f11
// command took 4.39s and exited with 0
// ***** Done, took 00:00:28 (28.34 sec)   *****
// Found 2 benchmarks:
//   ForVsForeach.ForBenchmark: DefaultJob
//   ForVsForeach.ForeachBenchmark: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForVsForeach.ForBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ed989461-2461-4cee-9d13-7e7a5d6a1f11.dll" --benchmarkName "BenchmarkingAssignment.ForVsForeach.ForBenchmark" --job "Default" --benchmarkId 0 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\ed989461-2461-4cee-9d13-7e7a5d6a1f11\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 399407.25 ns, 399.4072 us/op
WorkloadJitting  1: 1 op, 768394.76 ns, 768.3948 us/op

OverheadJitting  2: 16 op, 358715.91 ns, 22.4197 us/op
WorkloadJitting  2: 16 op, 438123.28 ns, 27.3827 us/op

WorkloadPilot    1: 16 op, 13827.16 ns, 864.1972 ns/op
WorkloadPilot    2: 32 op, 23308.63 ns, 728.3948 ns/op
WorkloadPilot    3: 64 op, 43851.83 ns, 685.1849 ns/op
WorkloadPilot    4: 128 op, 88888.85 ns, 694.4442 ns/op
WorkloadPilot    5: 256 op, 169086.35 ns, 660.4936 ns/op
WorkloadPilot    6: 512 op, 350419.61 ns, 684.4133 ns/op
WorkloadPilot    7: 1024 op, 1014913.18 ns, 991.1262 ns/op
WorkloadPilot    8: 2048 op, 1545875.93 ns, 754.8222 ns/op
WorkloadPilot    9: 4096 op, 3499060.35 ns, 854.2628 ns/op
WorkloadPilot   10: 8192 op, 6335207.37 ns, 773.3407 ns/op
WorkloadPilot   11: 16384 op, 11979452.06 ns, 731.1677 ns/op
WorkloadPilot   12: 32768 op, 23077916.81 ns, 704.2821 ns/op
WorkloadPilot   13: 65536 op, 54631879.65 ns, 833.6163 ns/op
WorkloadPilot   14: 131072 op, 137251106.27 ns, 1.0471 us/op
WorkloadPilot   15: 262144 op, 303912176.23 ns, 1.1593 us/op
WorkloadPilot   16: 524288 op, 587942483.78 ns, 1.1214 us/op

OverheadWarmup   1: 524288 op, 1299357.51 ns, 2.4783 ns/op
OverheadWarmup   2: 524288 op, 1853233.84 ns, 3.5348 ns/op
OverheadWarmup   3: 524288 op, 1359011.81 ns, 2.5921 ns/op
OverheadWarmup   4: 524288 op, 1197826.69 ns, 2.2847 ns/op
OverheadWarmup   5: 524288 op, 1409184.63 ns, 2.6878 ns/op
OverheadWarmup   6: 524288 op, 1352690.82 ns, 2.5801 ns/op

OverheadActual   1: 524288 op, 1286320.48 ns, 2.4535 ns/op
OverheadActual   2: 524288 op, 4084541.60 ns, 7.7906 ns/op
OverheadActual   3: 524288 op, 1578666.04 ns, 3.0111 ns/op
OverheadActual   4: 524288 op, 1332542.68 ns, 2.5416 ns/op
OverheadActual   5: 524288 op, 1255110.62 ns, 2.3939 ns/op
OverheadActual   6: 524288 op, 1363357.49 ns, 2.6004 ns/op
OverheadActual   7: 524288 op, 1673085.76 ns, 3.1912 ns/op
OverheadActual   8: 524288 op, 1360987.12 ns, 2.5959 ns/op
OverheadActual   9: 524288 op, 1750912.89 ns, 3.3396 ns/op
OverheadActual  10: 524288 op, 1840196.80 ns, 3.5099 ns/op
OverheadActual  11: 524288 op, 1319110.59 ns, 2.5160 ns/op
OverheadActual  12: 524288 op, 1439999.43 ns, 2.7466 ns/op
OverheadActual  13: 524288 op, 1289085.91 ns, 2.4587 ns/op
OverheadActual  14: 524288 op, 1400098.21 ns, 2.6705 ns/op
OverheadActual  15: 524288 op, 1776196.83 ns, 3.3878 ns/op
OverheadActual  16: 524288 op, 1340838.98 ns, 2.5574 ns/op
OverheadActual  17: 524288 op, 1282764.93 ns, 2.4467 ns/op
OverheadActual  18: 524288 op, 1597233.94 ns, 3.0465 ns/op
OverheadActual  19: 524288 op, 1714962.29 ns, 3.2710 ns/op
OverheadActual  20: 524288 op, 1481085.83 ns, 2.8249 ns/op

WorkloadWarmup   1: 524288 op, 502416789.17 ns, 958.2840 ns/op
WorkloadWarmup   2: 524288 op, 368018422.51 ns, 701.9394 ns/op
WorkloadWarmup   3: 524288 op, 375229481.39 ns, 715.6934 ns/op
WorkloadWarmup   4: 524288 op, 368372002.62 ns, 702.6138 ns/op
WorkloadWarmup   5: 524288 op, 372381087.45 ns, 710.2606 ns/op
WorkloadWarmup   6: 524288 op, 384423354.30 ns, 733.2294 ns/op
WorkloadWarmup   7: 524288 op, 527191495.43 ns, 1.0055 us/op
WorkloadWarmup   8: 524288 op, 423114499.51 ns, 807.0269 ns/op

// BeforeActualRun
WorkloadActual   1: 524288 op, 402888532.19 ns, 768.4489 ns/op
WorkloadActual   2: 524288 op, 585835620.41 ns, 1.1174 us/op
WorkloadActual   3: 524288 op, 528732630.62 ns, 1.0085 us/op
WorkloadActual   4: 524288 op, 405735345.88 ns, 773.8788 ns/op
WorkloadActual   5: 524288 op, 379573973.50 ns, 723.9799 ns/op
WorkloadActual   6: 524288 op, 381215454.33 ns, 727.1108 ns/op
WorkloadActual   7: 524288 op, 394452782.44 ns, 752.3590 ns/op
WorkloadActual   8: 524288 op, 461817891.63 ns, 880.8477 ns/op
WorkloadActual   9: 524288 op, 593735666.67 ns, 1.1325 us/op
WorkloadActual  10: 524288 op, 581939523.18 ns, 1.1100 us/op
WorkloadActual  11: 524288 op, 517057771.04 ns, 986.2094 ns/op
WorkloadActual  12: 524288 op, 394339794.83 ns, 752.1435 ns/op
WorkloadActual  13: 524288 op, 401794211.64 ns, 766.3616 ns/op
WorkloadActual  14: 524288 op, 391850906.92 ns, 747.3963 ns/op
WorkloadActual  15: 524288 op, 384591650.53 ns, 733.5504 ns/op
WorkloadActual  16: 524288 op, 444442293.55 ns, 847.7064 ns/op
WorkloadActual  17: 524288 op, 415840625.84 ns, 793.1530 ns/op
WorkloadActual  18: 524288 op, 397753521.88 ns, 758.6546 ns/op
WorkloadActual  19: 524288 op, 390267500.14 ns, 744.3762 ns/op
WorkloadActual  20: 524288 op, 395424238.84 ns, 754.2119 ns/op
WorkloadActual  21: 524288 op, 432635088.34 ns, 825.1859 ns/op
WorkloadActual  22: 524288 op, 402163594.21 ns, 767.0662 ns/op
WorkloadActual  23: 524288 op, 400925076.18 ns, 764.7039 ns/op
WorkloadActual  24: 524288 op, 399792434.65 ns, 762.5436 ns/op
WorkloadActual  25: 524288 op, 374208247.23 ns, 713.7456 ns/op
WorkloadActual  26: 524288 op, 388861871.07 ns, 741.6952 ns/op
WorkloadActual  27: 524288 op, 389641327.55 ns, 743.1819 ns/op
WorkloadActual  28: 524288 op, 382474515.57 ns, 729.5122 ns/op
WorkloadActual  29: 524288 op, 373749580.74 ns, 712.8708 ns/op
WorkloadActual  30: 524288 op, 387952439.33 ns, 739.9606 ns/op
WorkloadActual  31: 524288 op, 394554313.26 ns, 752.5526 ns/op
WorkloadActual  32: 524288 op, 385106020.70 ns, 734.5314 ns/op
WorkloadActual  33: 524288 op, 377472245.94 ns, 719.9712 ns/op
WorkloadActual  34: 524288 op, 364264942.51 ns, 694.7802 ns/op
WorkloadActual  35: 524288 op, 383339700.41 ns, 731.1625 ns/op
WorkloadActual  36: 524288 op, 377787505.07 ns, 720.5725 ns/op
WorkloadActual  37: 524288 op, 371575556.91 ns, 708.7241 ns/op
WorkloadActual  38: 524288 op, 397098904.85 ns, 757.4061 ns/op
WorkloadActual  39: 524288 op, 382283700.83 ns, 729.1483 ns/op
WorkloadActual  40: 524288 op, 378360739.41 ns, 721.6658 ns/op
WorkloadActual  41: 524288 op, 412344330.93 ns, 786.4844 ns/op
WorkloadActual  42: 524288 op, 392302067.24 ns, 748.2568 ns/op
WorkloadActual  43: 524288 op, 450690982.44 ns, 859.6248 ns/op
WorkloadActual  44: 524288 op, 396527250.75 ns, 756.3157 ns/op
WorkloadActual  45: 524288 op, 377042814.01 ns, 719.1521 ns/op
WorkloadActual  46: 524288 op, 387319550.69 ns, 738.7534 ns/op

// AfterActualRun
WorkloadResult   1: 524288 op, 401468483.37 ns, 765.7404 ns/op
WorkloadResult   2: 524288 op, 404315297.06 ns, 771.1702 ns/op
WorkloadResult   3: 524288 op, 378153924.68 ns, 721.2714 ns/op
WorkloadResult   4: 524288 op, 379795405.51 ns, 724.4022 ns/op
WorkloadResult   5: 524288 op, 393032733.62 ns, 749.6504 ns/op
WorkloadResult   6: 524288 op, 392919746.01 ns, 749.4349 ns/op
WorkloadResult   7: 524288 op, 400374162.82 ns, 763.6531 ns/op
WorkloadResult   8: 524288 op, 390430858.10 ns, 744.6878 ns/op
WorkloadResult   9: 524288 op, 383171601.71 ns, 730.8418 ns/op
WorkloadResult  10: 524288 op, 414420577.02 ns, 790.4445 ns/op
WorkloadResult  11: 524288 op, 396333473.05 ns, 755.9461 ns/op
WorkloadResult  12: 524288 op, 388847451.32 ns, 741.6677 ns/op
WorkloadResult  13: 524288 op, 394004190.02 ns, 751.5034 ns/op
WorkloadResult  14: 524288 op, 431215039.52 ns, 822.4774 ns/op
WorkloadResult  15: 524288 op, 400743545.39 ns, 764.3577 ns/op
WorkloadResult  16: 524288 op, 399505027.36 ns, 761.9954 ns/op
WorkloadResult  17: 524288 op, 398372385.83 ns, 759.8350 ns/op
WorkloadResult  18: 524288 op, 372788198.40 ns, 711.0371 ns/op
