// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\a3200d70-773d-4b7f-ae25-bab8a453a8eb
// command took 3.09s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\a3200d70-773d-4b7f-ae25-bab8a453a8eb
// command took 15.09s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\a3200d70-773d-4b7f-ae25-bab8a453a8eb
// command took 5.22s and exited with 0
// ***** Done, took 00:00:23 (23.8 sec)   *****
// Found 2 benchmarks:
//   ForVsForeach.ForBenchmark: DefaultJob
//   ForVsForeach.ForeachBenchmark: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForVsForeach.ForBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a3200d70-773d-4b7f-ae25-bab8a453a8eb.dll" --benchmarkName "BenchmarkingAssignment.ForVsForeach.ForBenchmark" --job "Default" --benchmarkId 0 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\a3200d70-773d-4b7f-ae25-bab8a453a8eb\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 457876.36 ns, 457.8764 us/op
WorkloadJitting  1: 1 op, 583110.88 ns, 583.1109 us/op

OverheadJitting  2: 16 op, 389135.65 ns, 24.3210 us/op
WorkloadJitting  2: 16 op, 661333.07 ns, 41.3333 us/op

WorkloadPilot    1: 16 op, 13037.03 ns, 814.8145 ns/op
WorkloadPilot    2: 32 op, 33580.23 ns, 1.0494 us/op
WorkloadPilot    3: 64 op, 72691.33 ns, 1.1358 us/op
WorkloadPilot    4: 128 op, 105086.38 ns, 820.9873 ns/op
WorkloadPilot    5: 256 op, 313283.83 ns, 1.2238 us/op
WorkloadPilot    6: 512 op, 425481.31 ns, 831.0182 ns/op
WorkloadPilot    7: 1024 op, 800394.75 ns, 781.6355 ns/op
WorkloadPilot    8: 2048 op, 1586962.34 ns, 774.8840 ns/op
WorkloadPilot    9: 4096 op, 3047504.97 ns, 744.0198 ns/op
WorkloadPilot   10: 8192 op, 6082367.97 ns, 742.4766 ns/op
WorkloadPilot   11: 16384 op, 11952192.81 ns, 729.5040 ns/op
WorkloadPilot   12: 32768 op, 24283644.73 ns, 741.0780 ns/op
WorkloadPilot   13: 65536 op, 48683042.50 ns, 742.8443 ns/op
WorkloadPilot   14: 131072 op, 94791468.72 ns, 723.2015 ns/op
WorkloadPilot   15: 262144 op, 185321803.33 ns, 706.9466 ns/op
WorkloadPilot   16: 524288 op, 371926766.65 ns, 709.3940 ns/op
WorkloadPilot   17: 1048576 op, 752485628.65 ns, 717.6262 ns/op

OverheadWarmup   1: 1048576 op, 3037628.43 ns, 2.8969 ns/op
OverheadWarmup   2: 1048576 op, 2044838.70 ns, 1.9501 ns/op
OverheadWarmup   3: 1048576 op, 2157826.31 ns, 2.0579 ns/op
OverheadWarmup   4: 1048576 op, 2190616.42 ns, 2.0891 ns/op
OverheadWarmup   5: 1048576 op, 2702616.22 ns, 2.5774 ns/op
OverheadWarmup   6: 1048576 op, 2941628.47 ns, 2.8054 ns/op
