// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\61068735-eb23-48e1-a66c-af5a9e6fb006
// command took 4.99s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\61068735-eb23-48e1-a66c-af5a9e6fb006
// command took 17.09s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\61068735-eb23-48e1-a66c-af5a9e6fb006
// command took 6.11s and exited with 0
// ***** Done, took 00:00:29 (29.04 sec)   *****
// Found 2 benchmarks:
//   ForVsForeach.ForBenchmark: DefaultJob
//   ForVsForeach.ForeachBenchmark: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForVsForeach.ForBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "61068735-eb23-48e1-a66c-af5a9e6fb006.dll" --benchmarkName "BenchmarkingAssignment.ForVsForeach.ForBenchmark" --job "Default" --benchmarkId 0 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\61068735-eb23-48e1-a66c-af5a9e6fb006\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 427851.68 ns, 427.8517 us/op
WorkloadJitting  1: 1 op, 487901.04 ns, 487.9010 us/op

OverheadJitting  2: 16 op, 360691.22 ns, 22.5432 us/op
WorkloadJitting  2: 16 op, 484345.49 ns, 30.2716 us/op

WorkloadPilot    1: 16 op, 13432.09 ns, 839.5058 ns/op
WorkloadPilot    2: 32 op, 31999.99 ns, 999.9996 ns/op
WorkloadPilot    3: 64 op, 44246.90 ns, 691.3578 ns/op
WorkloadPilot    4: 128 op, 103901.19 ns, 811.7281 ns/op
WorkloadPilot    5: 256 op, 176592.52 ns, 689.8145 ns/op
WorkloadPilot    6: 512 op, 570073.85 ns, 1.1134 us/op
WorkloadPilot    7: 1024 op, 819357.70 ns, 800.1540 ns/op
WorkloadPilot    8: 2048 op, 1566419.13 ns, 764.8531 ns/op
WorkloadPilot    9: 4096 op, 3367504.84 ns, 822.1447 ns/op
WorkloadPilot   10: 8192 op, 6377478.96 ns, 778.5008 ns/op
WorkloadPilot   11: 16384 op, 13328587.33 ns, 813.5124 ns/op
WorkloadPilot   12: 32768 op, 27761766.81 ns, 847.2219 ns/op
WorkloadPilot   13: 65536 op, 46841660.51 ns, 714.7470 ns/op
WorkloadPilot   14: 131072 op, 92437691.88 ns, 705.2436 ns/op
WorkloadPilot   15: 262144 op, 201356167.37 ns, 768.1128 ns/op
WorkloadPilot   16: 524288 op, 404429272.32 ns, 771.3876 ns/op
WorkloadPilot   17: 1048576 op, 760922168.52 ns, 725.6719 ns/op

OverheadWarmup   1: 1048576 op, 2159801.62 ns, 2.0597 ns/op
OverheadWarmup   2: 1048576 op, 2456492.86 ns, 2.3427 ns/op
OverheadWarmup   3: 1048576 op, 2072888.07 ns, 1.9769 ns/op
OverheadWarmup   4: 1048576 op, 2226171.96 ns, 2.1230 ns/op
OverheadWarmup   5: 1048576 op, 2834171.72 ns, 2.7029 ns/op
OverheadWarmup   6: 1048576 op, 2343900.31 ns, 2.2353 ns/op

OverheadActual   1: 1048576 op, 1991110.32 ns, 1.8989 ns/op
OverheadActual   2: 1048576 op, 2186665.80 ns, 2.0854 ns/op
OverheadActual   3: 1048576 op, 1929085.66 ns, 1.8397 ns/op
OverheadActual   4: 1048576 op, 2512591.60 ns, 2.3962 ns/op
OverheadActual   5: 1048576 op, 2031801.67 ns, 1.9377 ns/op
OverheadActual   6: 1048576 op, 2107258.43 ns, 2.0096 ns/op
OverheadActual   7: 1048576 op, 2245925.04 ns, 2.1419 ns/op
OverheadActual   8: 1048576 op, 2330863.28 ns, 2.2229 ns/op
OverheadActual   9: 1048576 op, 2216690.48 ns, 2.1140 ns/op
OverheadActual  10: 1048576 op, 2345085.49 ns, 2.2364 ns/op
OverheadActual  11: 1048576 op, 2066962.15 ns, 1.9712 ns/op
OverheadActual  12: 1048576 op, 2307554.64 ns, 2.2007 ns/op
OverheadActual  13: 1048576 op, 2091455.96 ns, 1.9946 ns/op
OverheadActual  14: 1048576 op, 2451357.06 ns, 2.3378 ns/op
OverheadActual  15: 1048576 op, 2258567.01 ns, 2.1539 ns/op
OverheadActual  16: 1048576 op, 2237233.68 ns, 2.1336 ns/op
OverheadActual  17: 1048576 op, 2466369.40 ns, 2.3521 ns/op
