// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\06037357-2850-4aea-8ec6-fd179751d9df
// command took 4.39s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\06037357-2850-4aea-8ec6-fd179751d9df
// command took 17.83s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\06037357-2850-4aea-8ec6-fd179751d9df
// command took 6.96s and exited with 0
// ***** Done, took 00:00:29 (29.71 sec)   *****
// Found 1 benchmarks:
//   StructVsClass.ClassOperation: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StructVsClass.ClassOperation: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "06037357-2850-4aea-8ec6-fd179751d9df.dll" --benchmarkName "BenchmarkingAssignment.StructVsClass.ClassOperation" --job "Default" --benchmarkId 0 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\06037357-2850-4aea-8ec6-fd179751d9df\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 417975.14 ns, 417.9751 us/op
WorkloadJitting  1: 1 op, 568098.54 ns, 568.0985 us/op

OverheadJitting  2: 16 op, 320394.94 ns, 20.0247 us/op
WorkloadJitting  2: 16 op, 961579.87 ns, 60.0987 us/op

WorkloadPilot    1: 16 op, 138666.61 ns, 8.6667 us/op
WorkloadPilot    2: 32 op, 823308.32 ns, 25.7284 us/op
WorkloadPilot    3: 64 op, 1506764.84 ns, 23.5432 us/op
WorkloadPilot    4: 128 op, 2025480.68 ns, 15.8241 us/op
WorkloadPilot    5: 256 op, 4674763.59 ns, 18.2608 us/op
WorkloadPilot    6: 512 op, 8901132.29 ns, 17.3850 us/op
WorkloadPilot    7: 1024 op, 18063400.27 ns, 17.6400 us/op
WorkloadPilot    8: 2048 op, 28558210.94 ns, 13.9444 us/op
WorkloadPilot    9: 4096 op, 39618749.78 ns, 9.6725 us/op
WorkloadPilot   10: 8192 op, 78255376.49 ns, 9.5527 us/op
WorkloadPilot   11: 16384 op, 160029961.47 ns, 9.7675 us/op
WorkloadPilot   12: 32768 op, 305721558.23 ns, 9.3299 us/op
WorkloadPilot   13: 65536 op, 812557901.21 ns, 12.3986 us/op

OverheadWarmup   1: 65536 op, 154074.01 ns, 2.3510 ns/op
OverheadWarmup   2: 65536 op, 155259.20 ns, 2.3691 ns/op
OverheadWarmup   3: 65536 op, 145777.72 ns, 2.2244 ns/op
OverheadWarmup   4: 65536 op, 176987.58 ns, 2.7006 ns/op
OverheadWarmup   5: 65536 op, 215703.62 ns, 3.2914 ns/op
OverheadWarmup   6: 65536 op, 148938.21 ns, 2.2726 ns/op

OverheadActual   1: 65536 op, 148938.21 ns, 2.2726 ns/op
OverheadActual   2: 65536 op, 152493.77 ns, 2.3269 ns/op
OverheadActual   3: 65536 op, 160790.06 ns, 2.4535 ns/op
OverheadActual   4: 65536 op, 207802.39 ns, 3.1708 ns/op
OverheadActual   5: 65536 op, 149728.34 ns, 2.2847 ns/op
