// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\71c93f17-7da6-43ca-aaac-ba347f457d70
// command took 3.56s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\71c93f17-7da6-43ca-aaac-ba347f457d70
// command took 16.73s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\71c93f17-7da6-43ca-aaac-ba347f457d70
// command took 6.84s and exited with 0
// ***** Done, took 00:00:27 (27.64 sec)   *****
// Found 2 benchmarks:
//   StructVsClass.ClassOperation: DefaultJob
//   StructVsClass.StructOperation: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StructVsClass.ClassOperation: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "71c93f17-7da6-43ca-aaac-ba347f457d70.dll" --benchmarkName "BenchmarkingAssignment.StructVsClass.ClassOperation" --job "Default" --benchmarkId 0 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\71c93f17-7da6-43ca-aaac-ba347f457d70\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 567308.42 ns, 567.3084 us/op
WorkloadJitting  1: 1 op, 443654.15 ns, 443.6541 us/op

OverheadJitting  2: 16 op, 325530.74 ns, 20.3457 us/op
WorkloadJitting  2: 16 op, 728493.54 ns, 45.5308 us/op

WorkloadPilot    1: 16 op, 132345.63 ns, 8.2716 us/op
WorkloadPilot    2: 32 op, 848987.32 ns, 26.5309 us/op
WorkloadPilot    3: 64 op, 1086814.39 ns, 16.9815 us/op
WorkloadPilot    4: 128 op, 1293036.53 ns, 10.1018 us/op
WorkloadPilot    5: 256 op, 2305974.40 ns, 9.0077 us/op
WorkloadPilot    6: 512 op, 4738368.50 ns, 9.2546 us/op
WorkloadPilot    7: 1024 op, 11253723.95 ns, 10.9900 us/op
WorkloadPilot    8: 2048 op, 18667054.35 ns, 9.1148 us/op
WorkloadPilot    9: 4096 op, 38191392.32 ns, 9.3241 us/op
WorkloadPilot   10: 8192 op, 72840267.52 ns, 8.8916 us/op
WorkloadPilot   11: 16384 op, 159843097.35 ns, 9.7560 us/op
WorkloadPilot   12: 32768 op, 299073857.16 ns, 9.1270 us/op
WorkloadPilot   13: 65536 op, 599631170.52 ns, 9.1496 us/op

OverheadWarmup   1: 65536 op, 127999.95 ns, 1.9531 ns/op
OverheadWarmup   2: 65536 op, 134716.00 ns, 2.0556 ns/op
OverheadWarmup   3: 65536 op, 200296.22 ns, 3.0563 ns/op
OverheadWarmup   4: 65536 op, 185283.88 ns, 2.8272 ns/op
OverheadWarmup   5: 65536 op, 141827.10 ns, 2.1641 ns/op
OverheadWarmup   6: 65536 op, 178962.89 ns, 2.7308 ns/op
OverheadWarmup   7: 65536 op, 154074.01 ns, 2.3510 ns/op

OverheadActual   1: 65536 op, 126814.76 ns, 1.9350 ns/op
OverheadActual   2: 65536 op, 163950.55 ns, 2.5017 ns/op
OverheadActual   3: 65536 op, 126419.70 ns, 1.9290 ns/op
OverheadActual   4: 65536 op, 126814.76 ns, 1.9350 ns/op
OverheadActual   5: 65536 op, 122864.15 ns, 1.8748 ns/op
OverheadActual   6: 65536 op, 133135.75 ns, 2.0315 ns/op
OverheadActual   7: 65536 op, 143012.29 ns, 2.1822 ns/op
OverheadActual   8: 65536 op, 139061.67 ns, 2.1219 ns/op
OverheadActual   9: 65536 op, 159209.81 ns, 2.4293 ns/op
OverheadActual  10: 65536 op, 178567.83 ns, 2.7247 ns/op
OverheadActual  11: 65536 op, 161580.18 ns, 2.4655 ns/op
OverheadActual  12: 65536 op, 170271.54 ns, 2.5981 ns/op
OverheadActual  13: 65536 op, 126419.70 ns, 1.9290 ns/op
OverheadActual  14: 65536 op, 182913.51 ns, 2.7910 ns/op
OverheadActual  15: 65536 op, 133135.75 ns, 2.0315 ns/op
OverheadActual  16: 65536 op, 179357.95 ns, 2.7368 ns/op
OverheadActual  17: 65536 op, 184098.69 ns, 2.8091 ns/op
OverheadActual  18: 65536 op, 126419.70 ns, 1.9290 ns/op
OverheadActual  19: 65536 op, 154074.01 ns, 2.3510 ns/op
OverheadActual  20: 65536 op, 178962.89 ns, 2.7308 ns/op

WorkloadWarmup   1: 65536 op, 629111455.17 ns, 9.5995 us/op
WorkloadWarmup   2: 65536 op, 596149097.82 ns, 9.0965 us/op
WorkloadWarmup   3: 65536 op, 616900892.09 ns, 9.4132 us/op
WorkloadWarmup   4: 65536 op, 588888656.24 ns, 8.9857 us/op
WorkloadWarmup   5: 65536 op, 614588991.77 ns, 9.3779 us/op
WorkloadWarmup   6: 65536 op, 601174281.02 ns, 9.1732 us/op

// BeforeActualRun
WorkloadActual   1: 65536 op, 632874416.64 ns, 9.6569 us/op
WorkloadActual   2: 65536 op, 594864752.65 ns, 9.0769 us/op
WorkloadActual   3: 65536 op, 597237097.39 ns, 9.1131 us/op
WorkloadActual   4: 65536 op, 625295555.44 ns, 9.5413 us/op
WorkloadActual   5: 65536 op, 592373099.31 ns, 9.0389 us/op
WorkloadActual   6: 65536 op, 658259888.09 ns, 10.0442 us/op
WorkloadActual   7: 65536 op, 602263465.77 ns, 9.1898 us/op
WorkloadActual   8: 65536 op, 612351758.08 ns, 9.3437 us/op
WorkloadActual   9: 65536 op, 675665510.85 ns, 10.3098 us/op
WorkloadActual  10: 65536 op, 620139606.86 ns, 9.4626 us/op
WorkloadActual  11: 65536 op, 617584348.61 ns, 9.4236 us/op
WorkloadActual  12: 65536 op, 591653692.19 ns, 9.0279 us/op
WorkloadActual  13: 65536 op, 621917779.00 ns, 9.4897 us/op
WorkloadActual  14: 65536 op, 595287863.59 ns, 9.0834 us/op
WorkloadActual  15: 65536 op, 585335472.46 ns, 8.9315 us/op
WorkloadActual  16: 65536 op, 614906621.27 ns, 9.3827 us/op
WorkloadActual  17: 65536 op, 599709787.77 ns, 9.1508 us/op
WorkloadActual  18: 65536 op, 610857635.22 ns, 9.3209 us/op
WorkloadActual  19: 65536 op, 616166867.69 ns, 9.4020 us/op
WorkloadActual  20: 65536 op, 604577341.40 ns, 9.2251 us/op
WorkloadActual  21: 65536 op, 644488041.68 ns, 9.8341 us/op
WorkloadActual  22: 65536 op, 605369834.92 ns, 9.2372 us/op
WorkloadActual  23: 65536 op, 601342182.19 ns, 9.1758 us/op
WorkloadActual  24: 65536 op, 584743670.22 ns, 8.9225 us/op
WorkloadActual  25: 65536 op, 602178922.60 ns, 9.1885 us/op

// AfterActualRun
WorkloadResult   1: 65536 op, 632725873.49 ns, 9.6546 us/op
WorkloadResult   2: 65536 op, 594716209.49 ns, 9.0746 us/op
WorkloadResult   3: 65536 op, 597088554.24 ns, 9.1108 us/op
